FECHA,PRECIO_PREDICTO,PRODUCTO
2025-05-18,167.54410823195803,Repollo Verde
2025-05-18,57.332322938111645,Cebolla Larga
2025-05-18,47.41493223147523,Yuca Llanera
2025-05-18,46.80211739490094,Uva Isabelita
2025-05-18,6.8686013345029835,Durazno Nacional
2025-05-18,13.712705752519316,Huevos Aaa
2025-05-18,225.8103243131938,Frijol Verde
2025-05-19,61.1760445149594,Mango Tommy
2025-05-19,14.318161498082958,Huevos Aaa
2025-05-19,34.769717842485534,Pera Nacional
2025-05-19,40.29536821898999,Cilantro
2025-05-19,39.26530094169358,Limon Mandarino
2025-05-19,17.407294938231203,Ajo
2025-05-19,2.4546601366363356,Mora De Castilla
2025-05-19,56.432409648395435,Cebolla Larga
2025-05-19,50.69744755356069,Mango Azucar
2025-05-19,2.7042325937432947,Sandia
2025-05-19,40.7149233868927,Mango Común
2025-05-19,24.94200084270376,Pepino De Guiso
2025-05-19,81.20305072910415,Papa úNica
2025-05-19,117.5546017003499,Mandarina
2025-05-19,128.9488775824862,Arracacha Amarilla
2025-05-19,9.771972606029058,Fresa
2025-05-19,21.639739605483435,Lechuga Crespa Verde
2025-05-19,228.68986278261445,Frijol Verde
2025-05-19,24.075765385166243,Melon
2025-05-19,69.55048705945109,Feijoba
2025-05-19,128.60728303516444,Mazorca
2025-05-19,54.02737615679721,Guayaba
2025-05-19,73.8467821918856,Maracuyá
2025-05-19,110.44045024448378,Lulo
2025-05-19,114.90674788310804,Tomate De Rio
2025-05-19,12.77666640884268,Huevos AA
2025-05-19,53.571308085878755,Naranja Tanjelo
2025-05-19,169.44662613557364,Repollo Verde
2025-05-19,32.14913544869764,Limon Tahití
2025-05-19,99.57384041317584,Remolacha
2025-05-19,122.63245053943886,Habichuela
2025-05-19,7.348252571442349,Durazno Nacional
2025-05-19,89.26110083068313,Cebolla Cabezona Roja
2025-05-19,5.714751170555998,Guanabana
2025-05-19,84.23214911729471,Manzana Nacional
2025-05-19,11.57200011838858,Aguacate papelillo
2025-05-19,26.750000604654296,Perejil
2025-05-19,80.90831320116827,Naranja Valencia
2025-05-19,92.9432129036123,Cebolla Cabezona Blanca
2025-05-19,46.02281100789722,Naranja Comun
2025-05-19,78.91442338237033,Tomate De Arbol Amarillo
2025-05-19,20.5906596369343,Pimentón
2025-05-19,305.702449289863,Arveja Verde En Vaina
2025-05-19,78.9719476895402,Zanahoria
2025-05-19,112.18715932992558,Papa Criolla Limpia
2025-05-19,132.83140389210507,Manzana Gloria
2025-05-19,21.683506923559694,Pepino Cohombro
2025-05-19,2.9663347876787807,Sandia Baby
2025-05-19,2.5379054733243183,Piña Gold
2025-05-19,45.75942996512475,Uva Isabelita
2025-05-19,49.99143493063142,Yuca Llanera
2025-05-19,87.2136375248896,Panela
2025-05-19,150.5409442050833,Manzana Verde Importada
2025-05-19,17.63766615462449,Espinaca
2025-05-19,27.62691324959102,Papaya Maradol
2025-05-19,38.08461290490178,Plátano Hartón Verde Llanero Gr
2025-05-19,107.76836070962551,Tomate Chonto
2025-05-19,39.896897883540966,Banano Urabá
2025-05-19,34.41399284354405,Plátano Hartón Verde Llanero Pa
2025-05-19,15.26995050570274,Tomate Cherri
2025-05-19,1.821442910430842,Uchuva
2025-05-19,153.06728034619903,Manzana Roja Importada
2025-05-20,56.51950318736789,Cebolla Larga
2025-05-20,80.42677360999895,Naranja Valencia
2025-05-20,47.72511050930657,Yuca Llanera
2025-05-20,1.8365617049519316,Sandia Baby
2025-05-20,45.43416139905272,Uva Isabelita
2025-05-20,123.46570983401634,Habichuela
2025-05-20,14.652706930064767,Huevos Aaa
2025-05-20,127.51057537735144,Arracacha Amarilla
2025-05-20,100.99653713963147,Remolacha
2025-05-20,19.310440323164023,Pimentón
2025-05-20,22.893092899716223,Pepino De Guiso
2025-05-20,84.18289887799573,Manzana Nacional
2025-05-20,88.23095597193752,Cebolla Cabezona Roja
2025-05-20,41.077534246802195,Mango Común
2025-05-20,49.8368099177824,Mango Azucar
2025-05-20,87.77702630165606,Panela
2025-05-20,169.18148784598023,Repollo Verde
2025-05-20,15.088220830506893,Tomate Cherri
2025-05-20,117.60628391584844,Mandarina
2025-05-20,41.673421585759556,Cilantro
2025-05-20,10.080395357242757,Aguacate papelillo
2025-05-20,79.37275244756302,Tomate De Arbol Amarillo
2025-05-20,49.77394793006806,Naranja Tanjelo
2025-05-20,28.34915740144263,Perejil
2025-05-20,3.2886502809035223,Piña Gold
2025-05-20,68.52119988751673,Feijoba
2025-05-20,301.287397170709,Arveja Verde En Vaina
2025-05-20,228.8092737535689,Frijol Verde
2025-05-20,112.9685681944493,Lulo
2025-05-20,5.181147961337417,Guanabana
2025-05-20,17.810400947066107,Ajo
2025-05-20,133.02702695235936,Mazorca
2025-05-20,109.75709448318065,Tomate Chonto
2025-05-20,44.976028391099,Naranja Comun
2025-05-20,115.52348452793805,Tomate De Rio
2025-05-20,61.231550991014316,Mango Tommy
2025-05-20,14.102343495057033,Huevos AA
2025-05-20,91.74894810538011,Cebolla Cabezona Blanca
2025-05-20,2.1535673216572526,Sandia
2025-05-20,34.90058347211084,Plátano Hartón Verde Llanero Pa
2025-05-20,40.94492773486658,Banano Urabá
2025-05-20,70.06650995565995,Maracuyá
2025-05-20,154.652867758943,Manzana Roja Importada
2025-05-20,9.934450066553213,Fresa
2025-05-20,34.10843244927172,Pera Nacional
2025-05-20,37.35675771232811,Plátano Hartón Verde Llanero Gr
2025-05-20,29.066785963652414,Papaya Maradol
2025-05-20,152.3562016920817,Manzana Verde Importada
2025-05-20,77.91740073821502,Zanahoria
2025-05-20,21.724295340721262,Lechuga Crespa Verde
2025-05-20,53.26784305595666,Guayaba
2025-05-20,80.11409055862194,Papa úNica
2025-05-20,18.54757012162561,Espinaca
2025-05-20,2.378989433565988,Uchuva
2025-05-20,3.6896858655458815,Mora De Castilla
2025-05-20,131.75457383874516,Manzana Gloria
2025-05-20,21.304194459059055,Pepino Cohombro
2025-05-20,39.05683822708224,Limon Mandarino
2025-05-20,31.40441330633725,Limon Tahití
2025-05-20,24.041195950000713,Melon
2025-05-20,109.0055771081195,Papa Criolla Limpia
2025-05-20,6.470191820363391,Durazno Nacional
2025-05-21,56.61842100706748,Cebolla Larga
2025-05-21,8.96158554121195,Fresa
2025-05-21,84.25910551241628,Manzana Nacional
2025-05-21,86.62486950760415,Panela
2025-05-21,89.03274538905771,Cebolla Cabezona Roja
2025-05-21,152.43459198617566,Manzana Verde Importada
2025-05-21,16.97753457601546,Espinaca
2025-05-21,156.14572722339904,Manzana Roja Importada
2025-05-21,2.7996163935299956,Sandia
2025-05-21,112.82516093256524,Lulo
2025-05-21,117.27267451355621,Mandarina
2025-05-21,127.40852832513725,Arracacha Amarilla
2025-05-21,132.39222552764642,Manzana Gloria
2025-05-21,135.42230928077316,Mazorca
2025-05-21,3.3815044819038205,Piña Gold
2025-05-21,81.0495390322478,Naranja Valencia
2025-05-21,47.5954046742055,Naranja Comun
2025-05-21,23.20299017454473,Melon
2025-05-21,59.44965480540655,Mango Tommy
2025-05-21,3.281331683201805,Mora De Castilla
2025-05-21,2.524252044325302,Sandia Baby
2025-05-21,111.27317348886763,Tomate Chonto
2025-05-21,81.57972256276518,Papa úNica
2025-05-21,48.294845616626894,Yuca Llanera
2025-05-21,29.24249388905338,Limon Tahití
2025-05-21,46.92403350753805,Uva Isabelita
2025-05-21,33.488774742338194,Plátano Hartón Verde Llanero Pa
2025-05-21,6.060780493822888,Durazno Nacional
2025-05-21,37.8957401347573,Limon Mandarino
2025-05-21,4.246105892594431,Guanabana
2025-05-21,21.557033428936037,Lechuga Crespa Verde
2025-05-21,105.61123144139893,Papa Criolla Limpia
2025-05-21,2.7316485784909488,Uchuva
2025-05-21,15.457143295167109,Ajo
2025-05-21,54.01358182665062,Guayaba
2025-05-21,118.15015267329927,Tomate De Rio
2025-05-21,64.88628512375561,Maracuyá
2025-05-21,20.248310295266677,Pepino Cohombro
2025-05-21,37.43065063803627,Pera Nacional
2025-05-21,20.900505623629698,Pepino De Guiso
2025-05-21,169.551998863856,Repollo Verde
2025-05-21,77.52654188207215,Zanahoria
2025-05-21,30.499386050341766,Papaya Maradol
